sample	seqId	lake	geographic_area	ideal_name	Run	possible_alternative_name
L1-P1	TF-2586-L1-P1	Lainio_1	Lainio	L1-P1	1	
L1-P2	TF-2586-L1-P2	Lainio_1	Lainio	L1-P2	1	
L1-p3	TF-2586-L1-p3	Lainio_1	Lainio	L1-p3	1	
L2-P1	TF-2586-L2-P1	Lainio_2	Lainio	L2-P1	1	
L2-P2	TF-2586-L2-P2	Lainio_2	Lainio	L2-P2	1	
L2-P3	TF-2586-L2-P3	Lainio_2	Lainio	L2-P3	1	
L3-P1	TF-2586-L3-P1	Lainio_3	Lainio	L3-P1	1	
L3-P2	TF-2586-L3-P2	Lainio_3	Lainio	L3-P2	1	
L3-P3	TF-2586-L3-P3	Lainio_3	Lainio	L3-P3	1	
L4-P1	TF-2586-L4-P1	Lainio_4	Lainio	L4-P1	1	
L4-P2	TF-2586-L4-P2	Lainio_4	Lainio	L4-P2	1	
L4-P3	TF-2586-L4-P3	Lainio_4	Lainio	L4-P3	1	
L5-P1	TF-2586-L5-P1	Lainio_5	Lainio	L5-P1	1	
L5-P2	TF-2586-L5-P2	Lainio_5	Lainio	L5-P2	1	
L5-P3	TF-2586-L5-P3	Lainio_5	Lainio	L5-P3	1	
Or1-P1	TF-2586-Or1-P1	Orbro_1	Orbro	Or1-P1	1	
Or1-P2	TF-2586-Or1-P2	Orbro_1	Orbro	Or1-P2	1	
Or1-P3	TF-2586-Or1-P3	Orbro_1	Orbro	Or1-P3	1	
Or1-P4	TF-2586-Or1-P4	Orbro_1	Orbro	Or1-P4	1	
Or2-P1	TF-2586-Or2-P1	Orbro_2	Orbro	Or2-P1	1	
Or2-P2	TF-2586-Or2-P2	Orbro_2	Orbro	Or2-P2	1	
Or2-P3	TF-2586-Or2-P3	Orbro_2	Orbro	Or2-P3	1	
Or3-P1	TF-2586-Or3-P1	Orbro_3	Orbro	Or3-P1	1	
Or3-P2	TF-2586-Or3-P2	Orbro_3	Orbro	Or3-P2	1	
Or3-P3	TF-2586-Or3-P3	Orbro_3	Orbro	Or3-P3	1	
Or3-P4	TF-2586-Or3-P4	Orbro_3	Orbro	Or3-P4	1	
OR4-P1	TF-2586-OR4-P1	Orbro_4	Orbro	OR4-P1	1	
Or4-P10	TF-2586-Or4-P10	Orbro_4	Orbro	Or4-P10	1	
Or4-P2	TF-2586-Or4-P2	Orbro_4	Orbro	Or4-P2	1	
Or4-P3	TF-2586-Or4-P3	Orbro_4	Orbro	Or4-P3	1	
Or4-P5	TF-2586-Or4-P5	Orbro_4	Orbro	Or4-P5	1	
Or4-P6	TF-2586-Or4-P6	Orbro_4	Orbro	Or4-P6	1	
Pl1-P1	TF-2586-Pl1-P1	platen	Uppsala	Pl1-P1	1	
Pl1-P2	TF-2586-Pl1-P2	platen	Uppsala	Pl1-P2	1	
Pl1-P3	TF-2586-Pl1-P3	platen	Uppsala	Pl1-P3	1	
Pl2-P1	TF-2586-Pl2-P1	platen	Uppsala	Pl2-P1	1	
pl2-P2	TF-2586-pl2-P2	platen	Uppsala	pl2-P2	1	
Pl2-P3	TF-2586-Pl2-P3	platen	Uppsala	Pl2-P3	1	
Pl2-P4	TF-2586-Pl2-P4	platen	Uppsala	Pl2-P4	1	
Pl2-P5	TF-2586-Pl2-P5	platen	Uppsala	Pl2-P5	1	
Pl2-P6	TF-2586-Pl2-P6	platen	Uppsala	Pl2-P6	1	
Up1-P2	TF-2586-Up1-P2	Uppsala_1	Uppsala	Up1-P2	1	
Up1-P3	TF-2586-Up1-P3	Uppsala_1	Uppsala	Up1-P3	1	
Up-P1	TF-2586-Up-P1	Uppsala_1	Uppsala	Up-P1	1
